"id","type","description","name"
"txcd_10103101","digital","Cloud services software delivered over the internet. The software isn't customized for a specific buyer and this model assumes an electronic transfer to the buyer, such as an app download.  The software is intended for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US.","Software as a service (SaaS) - electronic download - business use"
"txcd_10104001","digital","Cloud service providing business process outsourcing services over the internet.","Cloud-based business process as a service"
"txcd_10201000","digital","Video or electronic games in the common sense that are transferred electronically. These goods are downloaded to a device with permanent access granted. This does not include games that are considered betting, gambling, lottery, etc.","Video Games - downloaded - non subscription - with permanent rights"
"txcd_10201001","digital","Video or electronic games in the common sense that are transferred electronically. These goods are downloaded to a device with access that expires after a stated period of time. This does not include games that are considered betting, gambling, lottery, etc.","Video Games - downloaded - non subscription - with limited rights"
"txcd_10201002","digital","Video or electronic games in the common sense that are transferred electronically. These goods are downloaded to a device with access that is conditioned upon continued subscription payment. This does not include games that are considered betting, gambling, lottery, etc.","Video Games - downloaded - subscription - with conditional rights"
"txcd_10201003","digital","Video or electronic games in the common sense that are transferred electronically. These goods are streamed to a device with access that expires after a stated period of time. This does not include games that are considered betting, gambling, lottery, etc.","Video Games - streamed - non subscription - with limited rights"
"txcd_10201004","digital","Video or electronic games in the common sense that are transferred electronically. These goods are streamed to a device with access that is conditioned upon continued subscription payment. This does not include games that are considered betting, gambling, lottery, etc.","Video Games - streamed - subscription - with conditional rights"
"txcd_10202000","digital","Prewritten (""canned"") software that the buyer downloads. The software is intended for personal use, rather than for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US.","Downloadable Software - personal use"
"txcd_10202001","digital","Prewritten (""canned"") software that the buyer downloads used for non-recreational purposes, such as antivirus, database, educational, financial, word processing, etc. The software is intended for personal use, rather than for consumption in a commercial enterprise.  Note: The distinction between business use and personal use for this tax code is relevant only if you are transacting business in the US.","Downloadable Software - non-recreational - personal use"
"txcd_10202003","digital","Prewritten (""canned"") software that the buyer downloads. The software is intended for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US.","Downloadable Software - business use"
"txcd_10203000","digital","Custom software that the buyer downloads. The software is intended for personal use, rather than for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US.","Downloadable Software - custom - personal use"
"txcd_10203001","digital","Custom software that the buyer downloads. The software is intended for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US.","Downloadable Software - custom - business use"
"txcd_10301000","digital","The recording of a book read aloud and sold with unlimited usage (e.g., a downloaded audio copy of The High Growth Handbook).","Audiobook"
"txcd_10302000","digital","Works that are generally recognized in the ordinary and usual sense as books and are transferred electronically. These goods are downloaded to a device with permanent access granted. These goods include novels, autobiographies, encyclopedias, dictionaries, repair manuals, phone directories, business directories, zip code directories, cookbooks, etc.","Digital Books - downloaded - non subscription - with permanent rights"
"txcd_10302001","digital","Works that are generally recognized in the ordinary and usual sense as books and are transferred electronically.  These goods are downloaded to a device with access that expires after a stated period of time.  These goods include novels, autobiographies, encyclopedias, dictionaries, repair manuals, phone directories, business directories, zip code directories, cookbooks, etc.","Digital Books - downloaded - non subscription - with limited rights"
"txcd_10302002","digital","Works that are generally recognized in the ordinary and usual sense as books and are transferred electronically. These goods are downloaded to a device with access that is conditioned upon continued subscription payment. These goods include novels, autobiographies, encyclopedias, dictionaries, repair manuals, phone directories, business directories, zip code directories, cookbooks, etc.","Digital Books - downloaded - subscription - with conditional rights"
"txcd_10302003","digital","Works that are generally recognized in the ordinary and usual sense as books and are transferred electronically. These goods are viewable (but not downloadable) on a device with access that is conditioned upon continued subscription payment. These goods include novels, autobiographies, encyclopedias, dictionaries, repair manuals, phone directories, business directories, zip code directories, cookbooks, etc.","Digital Books - viewable only - subscription - with conditional rights"
"txcd_10303000","digital","A digital version of a traditional periodical published at regular intervals with the entire publication or individual articles downloaded to a device with access that is conditioned upon continued subscription payment.","Digital Magazines/Periodicals - downloadable - subscription - with conditional rights"
"txcd_10303001","digital","A digital version of a traditional magazine published at regular intervals. The publication is accessed via a subscription which also entitles the purchaser to physical copies of the media.","Digital Magazines/Periodicals - subscription tangible and digital"
"txcd_10303002","digital","A digital version of a traditional periodical published at regular intervals with the entire publication or individual articles viewable (but not downloadable) on a device with access that is conditioned upon continued subscription payment.","Digital Magazines/Periodicals - viewable only - subscription - with conditional rights"
"txcd_10303100","digital","A digital version of a traditional periodical published at regular intervals with the entire publication or individual articles downloaded to a device with permanent access granted. The publication is accessed without a subscription.","Digital Magazines/Periodicals - downloadable - non subscription - with permanent rights"
"txcd_10303101","digital","A digital version of a traditional periodical published at regular intervals with the entire publication or individual articles viewable (but not downloadable) on a device with access that expires after a stated period of time. The publication is accessed without a subscription.","Digital Magazines/Periodicals - viewable only - non subscription - with limited rights"
"txcd_10303102","digital","A digital version of a traditional periodical published at regular intervals with the entire publication or individual articles viewable (but not downloadable) on a device with permanent access granted. The publication is accessed without a subscription.","Digital Magazines/Periodicals - viewable only - non subscription - with permanent rights"
"txcd_10303104","digital","A digital version of a traditional periodical published at regular intervals with the entire publication or individual articles downloaded to a device with access that expires after a stated period of time. The publication is accessed without a subscription.","Digital Magazines/Periodicals - downloadable - non subscription - with limited rights"
"txcd_10304000","digital","A digital version of a traditional newspaper published at regular intervals with the entire publication or individual articles downloaded to a device with permanent access granted. The publication is accessed without a subscription.","Digital Newspapers - downloadable - non subscription - with permanent rights"
"txcd_10304001","digital","A digital version of a traditional newspaper published at regular intervals with the entire publication or individual articles viewable (but not downloadable) on a device with access that expires after a stated period of time. The publication is accessed without a subscription.","Digital Newspapers - viewable only - non subscription - with limited rights"
"txcd_10304002","digital","A digital version of a traditional newspaper published at regular intervals with the entire publication or individual articles viewable (but not downloadable) on a device with permanent access granted.  The publication is accessed without a subscription.","Digital Newspapers - viewable only - non subscription - with permanent rights"
"txcd_10304003","digital","A digital version of a traditional newspaper published at regular intervals with the entire publication or individual articles downloaded to a device with access that expires after a stated period of time.  The publication is accessed without a subscription.","Digital Newspapers - downloadable - non subscription - with limited rights"
"txcd_10304100","digital","A digital version of a traditional newspaper published at regular intervals with the entire publication or individual articles downloaded to a device with access that is conditioned upon continued subscription payment.","Digital Newspapers - downloadable - subscription - with conditional rights"
"txcd_10304101","digital","A digital version of a traditional newspaper published at regular intervals. The publication is accessed via a subscription which also entitles the purchaser to physical copies of the media.","Digital Newspapers - subscription tangible and digital"
"txcd_10304102","digital","A digital version of a traditional newspaper published at regular intervals with the entire publication or individual articles viewable (but not downloadable) on a device with access that is conditioned upon continued subscription payment.","Digital Newspapers - viewable only - subscription - with conditional rights"
"txcd_10305000","digital","Works that are required as part of a formal academic education program and are transferred electronically. These goods are downloaded to a device with access that expires after a stated period of time.","Digital School Textbooks - downloaded - non subscription - with limited rights"
"txcd_10305001","digital","Works that are required as part of a formal academic education program and are transferred electronically. These goods are downloaded to a device with permanent access granted.","Digital School Textbooks - downloaded - non subscription - with permanent rights"
"txcd_10401000","digital","Works that result from the fixation of a series of musical, spoken, or other sounds that are transferred electronically.  These goods are streamed to a device with access that expires after a stated period of time.  These goods include prerecorded or live music, prerecorded or live readings of books or other written materials, prerecorded or live speeches, ringtones, or other sound recordings, but not including audio greeting cards.","Digital Audio Works - streamed - non subscription - with limited rights"
"txcd_10401001","digital","Works that result from the fixation of a series of musical, spoken, or other sounds that are transferred electronically.  These goods are downloaded to a device with access that expires after a stated period of time.  These goods include prerecorded or live music, prerecorded or live readings of books or other written materials, prerecorded or live speeches, ringtones, or other sound recordings, but not including audio greeting cards.  Note the presence of PTC 10301000 (Audiobook), a more granular option for downloaded audiobooks.","Digital Audio Works - downloaded - non subscription - with limited rights"
"txcd_10401100","digital","Works that result from the fixation of a series of musical, spoken, or other sounds that are transferred electronically. These goods are downloaded to a device with permanent access granted. These goods include prerecorded or live music, prerecorded or live readings of books or other written materials, prerecorded or live speeches, ringtones, or other sound recordings, but not including audio greeting cards.  Note the presence of PTC 10301000 (Audiobook), a more granular option for downloaded audiobooks.","Digital Audio Works - downloaded - non subscription - with permanent rights"
"txcd_10401200","digital","Works that result from the fixation of a series of musical, spoken, or other sounds that are transferred electronically. These goods are streamed to a device with access that is conditioned upon continued subscription payment. These goods include prerecorded or live music, prerecorded or live readings of books or other written materials, prerecorded or live speeches, ringtones, or other sound recordings, but not including audio greeting cards.","Digital Audio Works - streamed - subscription - with conditional rights"
"txcd_10402000","digital","A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any.  These goods are streamed to a device with access that expires after a stated period of time.  These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games.","Digital Audio Visual Works - streamed - non subscription - with limited rights"
"txcd_10402100","digital","A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any.  These goods are downloaded to a device with permanent access granted.  These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games.","Digital Audio Visual Works - downloaded - non subscription - with permanent rights"
"txcd_10402110","digital","A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any. These goods are downloaded to a device with access that expires after a stated period of time. These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games.","Digital Audio Visual Works - downloaded - non subscription - with limited rights"
"txcd_10402200","digital","A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any.  These goods are streamed to a device with access that is conditioned upon continued subscription payment.  These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games.","Digital Audio Visual Works - streamed - subscription - with conditional rights"
"txcd_10402300","digital","An audio visual work of a live performance streamed over the internet that you can only access for a limited time during the performance (e.g., a live concert stream).","Digital Video Streaming - live events - limited use"
"txcd_10501000","digital","Digital images that are downloaded to a device with permanent access granted.","Digital Photographs/Images - downloaded - non subscription - with permanent rights"
"txcd_10502000","digital","Gift card or gift certificate that you purchase and receive electronically and assumed to be multi-purpose.","Gift Card"
"txcd_10503000","digital","Individual digital news articles, newsletters, and other stand-alone documents.  These goods are downloaded to a device with permanent access granted.  These publications are accessed without a subscription.","Digital other news or documents - downloadable - non subscription - with permanent rights"
"txcd_10503001","digital","Individual digital news articles, newsletters, and other stand-alone documents. These goods are downloaded to a device with access that expires after a stated period of time.","Digital other news or documents - downloadable - non subscription - with limited rights"
"txcd_10503002","digital","Individual digital news articles, newsletters, and other stand-alone documents. These goods are downloaded to a device with access that is conditioned upon continued subscription payment.","Digital other news or documents - downloadable - subscription - with conditional rights"
"txcd_10503003","digital","Individual digital news articles, newsletters, and other stand-alone documents. These goods are viewable (but not downloadable) on a device with access that expires after a stated period of time.","Digital other news or documents - viewable only - non subscription - with limited rights"
"txcd_10503004","digital","Individual digital news articles, newsletters, and other stand-alone documents. These goods are viewable (but not downloadable) on a device with permanent access granted.","Digital other news or documents - viewable only - non subscription - with permanent rights"
"txcd_10503005","digital","Individual digital news articles, newsletters, and other stand-alone documents. These goods are viewable (but not downloadable) on a device with access that is conditioned upon continued subscription payment.","Digital other news or documents - viewable only - subscription - with conditional rights"
"txcd_10504000","digital","Electronic software documentation or user manuals - For custom software & delivered electronically.","Electronic software documentation or user manuals - Custom, electronic delivery"
"txcd_10504003","digital","Electronic software documentation or user manuals - For prewritten software & delivered electronically.","Electronic software documentation or user manuals - Prewritten, electronic delivery"
"txcd_10505000","digital","The final art used for actual reproduction by photomechanical or other processes or for display purposes, but does not include website or home page design, and that is transferred electronically. These goods are downloaded to a device with access that expires after a stated period of time. These goods include drawings, paintings, designs, photographs, lettering, paste-ups, mechanicals, assemblies, charts, graphs, illustrative materials, etc.","Digital Finished Artwork - downloaded - non subscription - with limited rights"
"txcd_10505001","digital","The final art used for actual reproduction by photomechanical or other processes or for display purposes, but does not include website or home page design, and that is transferred electronically. These goods are downloaded to a device with permanent access granted. These goods include drawings, paintings, designs, photographs, lettering, paste-ups, mechanicals, assemblies, charts, graphs, illustrative materials, etc.","Digital Finished Artwork - downloaded - non subscription - with permanent rights"
"txcd_10505002","digital","The final art used for actual reproduction by photomechanical or other processes or for display purposes, but does not include website or home page design, and that is transferred electronically. These goods are downloaded to a device with access that is conditioned upon continued subscription payment. These goods include drawings, paintings, designs, photographs, lettering, paste-ups, mechanicals, assemblies, charts, graphs, illustrative materials, etc.","Digital Finished Artwork - downloaded - subscription - with conditional rights"
"txcd_10506000","digital","An electronic greeting ""card"" typically sent via email that contains an audio only message.","Digital Greeting Cards - Audio Only"
"txcd_10506001","digital","An electronic greeting ""card"" typically sent via email that contains a series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any.","Digital Greeting Cards - Audio Visual"
"txcd_10506002","digital","An electronic greeting ""card"" typically sent via email that contains only static images or text, rather than an audio visual or audio only experience.","Digital Greeting Cards - Static text and/or images only"
"txcd_10701000","digital","Online advertising services such as creating and uploading advertisements on the internet. This is a standalone service that doesn't involve the sale of tangible personal property.","Website Advertising"
"txcd_10701100","digital","A service to enable a customer's website to be accessible on the internet.","Website Hosting"
"txcd_10701200","services","A service to design a website or webpage.","Website Design"
"txcd_10701300","digital","An online service that allows a customer to create, transform, process or access data electronically.","Website Data Processing"
"txcd_10701400","digital","An online service furnishing information to customers, including online search and data comparison.","Website Information Services"
"txcd_10702000","digital","A subscription service for membership to an online dating platform.","Online Dating Services"
"txcd_10804001","digital","A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any. These goods are streamed and/or downloaded to a device with access that is conditioned upon continued subscription payment.  Any downloads received while under subscription remain the permanent property of the subscriber.  These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games.  These goods further include self-study web based training services that impart content via audio visual goods described here.","Digital Audio Visual Works - bundle - downloaded with permanent rights and streamed - subscription - with conditional rights"
"txcd_10804002","digital","A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any. These goods can be streamed and/or downloaded to a device with access that expires after a stated period of time. These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games.","Digital Audio Visual Works - bundle - downloaded with limited rights and streamed - non subscription"
"txcd_10804003","digital","A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any. These goods can be streamed and/or downloaded to a device with permanent access granted. These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games.","Digital Audio Visual Works - bundle - downloaded with permanent rights and streamed - non subscription"
"txcd_10804010","digital","Works that result from the fixation of a series of musical, spoken, or other sounds that are transferred electronically. These goods are streamed and/or downloaded to a device with access that is conditioned upon continued subscription payment.  Any downloads received while under subscription remain the permanent property of the subscriber.  These goods include prerecorded or live music, prerecorded or live readings of books or other written materials, prerecorded or live speeches, ringtones, or other sound recordings, but not including audio greeting cards.   These goods further include self-study web based training services that impart content via audio goods described here.  Note the presence of PTC 10301000 (Audiobook), a more granular option for downloaded audiobooks.","Digital Audio Works - bundle - downloaded with permanent rights and streamed - subscription - with conditional rights"
"txcd_20010001","services","A charge to clean, wash or wax a motor vehicle, other than a self-service coin (or credit card) operated washing station. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential.","Car Washing"
"txcd_20010003","services","A charge for the cleaning of tangible personal property, other than motor vehicles or clothing.","Cleaning of Tangible Personal Property"
"txcd_20010004","services","A charge for janitorial services to commercial buildings, including the cleaning of floors, carpets, walls, windows, fixtures, exterior cleaning, etc.","Commercial Cleaning Services"
"txcd_20010006","services","A charge for custodial services to residential structures, including the cleaning of floors, carpets, walls, windows, appliances, furniture, fixtures, exterior cleaning, etc. No Tangible Personal Property is transferred.","Residential Cleaning Services"
"txcd_20010007","services","A charge for the service to maintain the proper operation of home or building gutters through cleaning out debris that could otherwise affect the proper water flow through the gutter system.","Gutter Cleaning Services"
"txcd_20020009","services","A labor charge to install hardware where the installed property isn't considered permanently attached to the real property.","Installation of Hardware - Nonpermanent"
"txcd_20020010","services","A labor charge to install hardware where the installed property is permanently attached to the real property.","Installation of Hardware - Permanent"
"txcd_20020018","services","A charge separately stated from any sale of the product itself for the installation of tangible personal property. This is a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential.","Installation of Tangible Personal Property"
"txcd_20030002","services","Services provided by a facility for overnight care of an animal not related to veterinary care.","Pet Boarding"
"txcd_20030003","services","Grooming services for an animal such as haircuts, bathing, nail trimming, and flea dips.","Pet Grooming"
"txcd_20030004","services","A charge for providing usage of a parking space.","Parking Services"
"txcd_20030005","services","Service to train an animal to obey certain commands.","Pet Services - Obedience Training"
"txcd_20040001","services","Services provided by beauty shops and barber shops, including but not limited to haircutting, hair coloring, shampooing, blow drying, permanents, hair extensions, hair straightening, and hair restorations.","Hairdressing Services"
"txcd_20040002","services","A charge for personal care services.  Please select a more granular product tax category where appropriate.","Personal Care Services"
"txcd_20040003","services","A charge for the puncturing or penetration of the skin of a person and the insertion of jewelry or other adornment into the opening.","Body Piercing"
"txcd_20040004","services","Services that provide non-medical care and supervision for infant to school-age children or senior citizens.","Childcare Services / Adultcare"
"txcd_20040005","services","A service that arranges introductions, for a fee, for strangers seeking romantic partners or friends. This excludes online dating services.","Dating Services"
"txcd_20040006","services","Services provided by employment agencies to match employees to employers and employers to employees.","Employment Services"
"txcd_20040007","services","A charge for the cosmetic beauty treatment for the fingernails and toenails, including filing, cutting, shaping and the application of polish.","Manicure Services"
"txcd_20040008","services","Services where the use of structured touch, include holding, applying pressure, positioning, and mobilizing soft tissue of the body by manual technique. Note: This does not include medical massage prescribed by a physician.","Massage Services"
"txcd_20040009","services","Personal services typically with the purpose of improving health, beauty and relaxation through treatments such as hair, massages and facials.","Spa Services"
"txcd_20040010","services","Services for artificial tanning and skin beautification.","Tanning Services"
"txcd_20040011","services","A charge for the process that uses needles and colored ink to permanently put a mark or design on a person’s skin. Also applying permanent make-up, such as eyelining and other permanent colors to enhance the skin of the face, lips, eyelids, and eyebrows.","Tattooing Services"
"txcd_20060000","services","A charge for a service performed by providers considered professionals due to the extensive initial and continuing education and/or training requirements, and the likelihood of state or federal licensing requirements. Choose this product tax code for any professional service offering in which a more detailed code is not available.","Professional Services"
"txcd_20060001","services","The measurement, processing and communication of financial information about economic entities including, but is not limited to, financial accounting, management accounting, auditing, cost containment and auditing services, taxation and accounting information systems; excluding general bookkeeping service.","Accounting Services"
"txcd_20060002","services","Services rendered for advertising which do not include the exchange of tangible personal property.","Advertising Services"
"txcd_20060008","services","Services rendered for the compiling and relating of information regarding the history of financial transactions of a person or entity.","Credit Reporting Services"
"txcd_20060009","services","A service that allows data to be created, transformed, where the service is not performed online. Select ""Website data processing"" if the service is performed online and data is accessed by the customer electronically.","Data Processing"
"txcd_20060010","services","Services performed to collect or adjust past-due debt from borrowers.","Debt Collection Services"
"txcd_20060013","services","Services provided by a professional trained to apply physical laws and principles of engineering in the design, development, and utilization of machines, materials, instruments, structures, processes, and systems. The services involve any of the following activities: provision of advice, preparation of feasibility studies, preparation of preliminary and final plans and designs, provision of technical services during the construction or installation phase, inspection and evaluation of engineering projects, and related services.","Engineering Services"
"txcd_20060017","services","Charges for installing, configuring, debugging, modifying, testing, or troubleshooting computer hardware, networks, programs or software. Labor only charge.","Technical Support Services"
"txcd_20060021","services","Charges associated loss or damage appraisals, inspections, actuarial services, claims adjustment or processing.  Investigations as excluded from this definition.","Insurance Services"
"txcd_20060022","services","Planning and design of interior spaces, including preparation of layout drawings, furniture arranging, design planning and purchasing of furniture, fixtures, and cabinetry, staging, lighting and sound design.","Interior Decorating"
"txcd_20060026","services","Services relating to advocating for the passage or defeat of legislation to members or staff of the government.","Lobbying Services"
"txcd_20060027","services","Services provided by a licensed or registered professional in the medical field.  Examples: Doctor, dentist, nurse, optometrist, etc.","Medical Professional Services"
"txcd_20060029","services","Services to process employee payroll, including wages, withholding taxes, benefits. etc.","Payroll Services"
"txcd_20060030","services","Services providing a systematic inquiry, examination, or analysis of people, events or documents through surveillance, background checks, computer searches, fingerprinting, lie detector services, interviews, etc.","Private Investigator Services"
"txcd_20060035","services","Services which include, but are not limited to, editing, letter writing, proofreading, resume writing, typing or word processing. Doesn't include court reporting and stenographic services.","Secretarial/Editing Services"
"txcd_20060040","digital","Charges to electronically file a tax return on behalf of the taxpayer.  This does not include manual preparation of tax returns.","Electronic Filing Service"
"txcd_20060042","services","Services relating to providing personnel, on a temporary basis, to perform work or labor under the supervision or control of another.","Temporary Help Services"
"txcd_20060044","services","A charge for training sessions which provide instruction to the buyer. This includes education sessions or workshops but excludes physical exercise or workouts.","Training"
"txcd_20060045","services","Live web based training. This does not include video replays of the instruction or course.  This service allows for a level of participation that is substantially similar to an in-person training on the same subject matter.","Training Services - Live Virtual"
"txcd_20060047","services","Services related to the art and science of designing and building structures for human habitation or use and includes planning, providing preliminary studies, designs, specifications, working drawings and providing for general administration of construction contracts.","Architectural Services"
"txcd_20060048","services","The provision of expertise or strategic advice that is presented for consideration and decision-making.","Consulting Services"
"txcd_20060049","services","Medical procedure performed on an individual that is directed at improving the individual's appearance and that does not meaningfully promote the proper function of the body or prevent or treat illness or disease.","Cosmetic Medical Procedure"
"txcd_20060050","digital","Services to track one's credit reports and provide notifications of activity with the intent of avoiding fraud.","Credit Monitoring Services"
"txcd_20060051","digital","A service that allows merchants to accept credit cards as well as send credit card payment details to the credit card network. It then forwards the payment authorization back to the acquiring bank.","Credit Card Processing Services"
"txcd_20060052","services","Academic classes provided by traditional private education establishments and organizations.","Educational Services"
"txcd_20060053","services","A charge for an objective visual examination of a house’s systems and physical structure. The charge includes a report of the inspector's findings including pictures, analysis, and recommendations.","Home Inspection Services"
"txcd_20060054","services","Services relating to or concerned with the law. Such services include, but are not limited to, representation by an attorney (or other person, when permitted) in an administrative or legal proceeding, legal drafting, paralegal services, legal research services, arbitration, mediation, and court reporting services.","Legal Services"
"txcd_20060055","services","Services for consumer research and testing in connection with the development of particular products or services that the client sells to consumers in the regular course of business.","Marketing Services"
"txcd_20060056","services","Services to provide outreach designed to influence the general public or other groups by promoting the interests of a service recipient.","Public Relations"
"txcd_20060057","services","Services that include typing, taking shorthand, and taking and transcribing dictation for others for a consideration.","Stenographic Services"
"txcd_20060058","digital","Self Study web based training, not instructor led. This does not include downloads or streaming of video replays.","Training Services - Self-study Web-based"
"txcd_20060059","services","Personal or small group teaching, designed to help people who need extra help with their studies.","Tutoring"
"txcd_20070001","services","A charge for monitoring an electronically controlled alarm system for residential or commercial properties to minimize or prevent loss or damage to life, limb, or property.","Security - Alarm Services"
"txcd_20070006","services","A charge for services related to the eradication of insects, rodents, and other pests.","Extermination Services"
"txcd_20070007","services","A charge for services related to the maintenance of grounds.","Landscaping"
"txcd_20070008","services","A charge for services of general lawn and grounds maintenance, including lawn cutting, weeding, yard clean-up, shrub and tree trimming, periodic seeding or aeration, etc. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential.","Lawn Maintenance Services"
"txcd_20070010","services","A charge for services related to the painting of surfaces or the application of wallpaper.","Painting & Wallpapering Services"
"txcd_20070013","services","Services related to protecting persons or their property, preventing the theft of goods, merchandise, or money. Responding to alarm signal device, burglar alarm, television camera, still camera, or a mechanical or electronic device installed or used to prevent or detect burglary, theft, shoplifting, pilferage, losses, or other security measures. Providing management and control of crowds for safety and protection.","Security - Guard Services"
"txcd_20070016","services","Services mapping, detecting or establishing the relative position of points at, above, or below the surface of the earth. These services may include surveying and mapping of areas above or below the surface of the earth, such as the creation of view easements or segregating rights in parcels of land by creating underground utility easements.","Property Surveying Services"
"txcd_20080003","services","A charge to repair or restore to operating condition a motor vehicle that was broken, worn, damaged, defective, or malfunctioning. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential.","Motor Vehicle Repair"
"txcd_20080004","services","A charge to repair or restore footwear was broken, worn, damaged, defective, or malfunctioning. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential.","Shoe Repair"
"txcd_20080005","services","A charge to repair or restore tangible personal property that was broken, worn, damaged, defective, or malfunctioning. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential.","Repair of Tangible Personal Property"
"txcd_20080007","services","A charge to repair or maintain real property including repairs to HVAC, electrical, flooring, etc.","Repairs to Real Property"
"txcd_20080008","services","A charge to repair or restore to operating condition an aircraft that was broken, worn, damaged, defective, or malfunctioning. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential. Commercial aircraft is excluded.","Aircraft Repair"
"txcd_20080009","services","A charge to repair or restore to operating condition an appliance (dishwasher, washing machine, refrigerator, etc.) that was broken, worn, damaged, defective, or malfunctioning. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential.","Appliance Repair"
"txcd_20080010","services","A charge to repair or restore to operating condition computer hardware that was broken, worn, damaged, defective, or malfunctioning. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential.","Computer Repair"
"txcd_20080011","services","A separately stated labor charge to cover a piece of furniture previously owned by the customer with new fabric coverings. Any materials transferred as part of the service are separately stated.","Furniture Reupholstering"
"txcd_20080012","services","A charge to repair or restore jewelry that was broken, worn, damaged, defective, or malfunctioning. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential.","Jewelry Repair"
"txcd_20080013","services","A charge to repair or restore to operating condition a machine that was broken, worn, damaged, defective, or malfunctioning. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential.","Machine Repair"
